density,conductivity,solvent1,solvent2,solvent3,solvent4,solvent5,solvent6,solvent7,solvent8,additive1,additive2,additive3,additive4,additive5,additive6,additive7,additive8,additive9,additive10,additive11,additive12,additive13,additive14,additive15,additive16,additive17,additive18,additive19,additive20,additive21,additive22,additive23,additive24,additive25,additive26,additive27,LiPF6,additive28,additive29,additive30,additive31,additive32,additive33,additive34,additive35,additive36
1.2349,9.97,26,16,0,36.2,0,0,0,4.7,0,0,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0.6
1.2362,9.87,26,16,0,36.1,0,0,0,4.7,0,0,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0.7
1.1691,8.47,27,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
1.1789,8.78,26.625,0,0,62.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0,0,0,0,0,0,0
1.1883,8.91,26.25,0,0,61.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0
1.198,9.01,25.875,0,0,60.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75,0,0,0,0,0,0,0,0,0
1.2078,8.93,25.5,0,0,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
1.1951,8.16,24.69,0,16.46,41.15,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,12.5,0.3,0,2,0,0,0,0.5,0,0
1.1979,8.13,24.69,0,12.345,41.15,0,0,0,0,4.115,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,12.5,0.3,0,2,0,0,0,0.5,0,0
1.1819,8.07,16.66,0,16.66,41.65,0,0,0,8.33,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,12.5,0.3,0,2,0,0,0,0.5,0,0
1.2553,11.73,20.33,56.93,0,4.07,0,0,0,0,0,0,0,0.85,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.42,0,0,0,0,0,0,0,0,0
1.2559,11.91,20.15,56.43,0,4.03,0,0,0,0,0,0,0,0.84,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,11.46,0,0,0,0,0,0,0,0,0
1.2306,8.53,17.81,0,0,53.44,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,13.75,0,0,0,0,0,0,0,0,0
1.2229,8.68,18.56,0,0,55.69,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75,0,0,1,0,0,0,1,0,0
1.2228,8.63,18.31,0,0,54.94,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.75,0,0,1,0,0,0,1,0,0
1.2263,8.52,18.06,0,0,54.19,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13.75,0,0,1,0,0,0,1,0,0
1.2233,8.84,18.56,0,0,55.69,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.75,0,0,1,0,0,0,0,0,0
1.2365,8.25,18.06,0,0,54.19,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,13.75,0,0,1,0,0,0,0,0,1
1.2281,8.86,18.56,0,0,55.69,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.75,0,0,1,0,0,0,0,0,0
1.2411,7.86,21.075,0,14.05,35.125,0,0,0,0,0,0,2,0.5,0,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.5,0,0,0,0,13.75,0,0,1,0,0,0,1,0,0
1.2098,8.63,24.75,0,8.25,49.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,1.5,0,0,0,0,0,0
1.2014,7.73,24.84,0,16.56,41.4,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,13,0,0,1,0,0,0,0,0,0
1.2119,8.05,24.66,0,8.22,49.32,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.8,0,0,13.5,0,0,0,0,0,0,0,0,0
